app,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Total,uid
WhatsApp,02:05:38,03:23:02,02:04:38,03:00:53,02:39:07,03:15:03,00:05:12,16:33:35,1
UC Browser,00:22:29,00:46:04,00:29:50,01:41:31,01:13:40,01:20:08,00:19:54,06:13:40,
Google Play Store,00:00:00,00:00:00,00:00:00,00:00:08,00:02:13,00:00:13,00:01:40,00:04:15,
TastySpots,00:00:00,00:00:00,00:00:00,00:04:11,00:00:00,00:00:00,00:00:00,00:04:12,
All Football,00:00:46,00:00:46,00:00:27,00:00:00,00:01:55,00:00:00,00:00:00,00:03:55,
JioTV,00:00:00,00:03:35,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:03:35,
Adobe Acrobat,00:00:00,00:00:00,00:00:00,00:03:23,00:00:00,00:00:00,00:00:00,00:03:23,
WPS Office,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:02:50,00:02:50,
File Manager,00:00:00,00:00:02,00:00:00,00:01:37,00:00:00,00:00:36,00:00:00,00:02:17,
Clock,00:00:16,00:00:28,00:01:01,00:00:13,00:00:01,00:00:07,00:00:01,00:02:11,
Photos,00:00:00,00:01:46,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:46,
Psiphon Pro,00:00:00,00:00:00,00:00:00,00:00:00,00:01:14,00:00:20,00:00:00,00:01:35,
Truecaller,00:00:00,00:00:01,00:00:00,00:00:00,00:00:05,00:00:53,00:00:29,00:01:30,
Chrome,00:00:00,00:00:00,00:00:12,00:00:48,00:00:02,00:00:11,00:00:00,00:01:14,
Calendar,00:00:00,00:00:00,00:01:05,00:00:00,00:00:00,00:00:00,00:00:00,00:01:05,
HISTORY CHANNEL,00:00:55,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:55,
Current Affairs,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:43,00:00:43,
Sticky Notes,00:00:00,00:00:24,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:24,
Pi Music Player,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:03,00:00:00,00:00:03,
Keep,00:00:00,00:00:00,00:00:00,00:00:01,00:00:00,00:00:00,00:00:00,00:00:01,
